title,Authors,1stAuthor,result-from,result-id,result-pub_date,result-title,result-ttl_similarity,result-author,result-link,result-pdf_link
Characterizing and overcoming the greedy nature of learning in multi-modal deep neural networks,"Nan Wu (NYU Center for Data Science) · Stanislaw Jastrzebski (Molecule.one / Jagiellonian University) · Kyunghyun Cho (New York University, Genentech) · Krzysztof J Geras (New York University)",Nan Wu,arXiv,http://arxiv.org/abs/2202.05306v2,2022-02-10T20:11:21Z,"Characterizing and overcoming the greedy nature of learning in
  multi-modal deep neural networks",0.99,Krzysztof J. Geras,http://arxiv.org/abs/2202.05306v2,http://arxiv.org/pdf/2202.05306v2
Phasic Self-Imitative Reduction for Sparse-Reward Goal-Conditioned Reinforcement Learning,"Yunfei Li (Tsinghua University) · Tian Gao (Tsinghua University) · Jiaqi Yang (University of California, Berkeley) · Huazhe Xu (Stanford University) · Yi Wu (UC Berkeley)",Yunfei Li,Google,,,Advances in studying ,0.145,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3725633/,
Dual Perspective of Label-Specific Feature Learning for Multi-Label Classification,Jun-Yi Hang (Southeast University) · Min-Ling Zhang (Southeast University),Jun-Yi Hang,,,,,0.0,,,
Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,"Harley Wiltzer (McGill University, Mila) · David Meger (McGill University) · Marc Bellemare (Google Brain)",Harley Wiltzer,arXiv,http://arxiv.org/abs/2205.12184v2,2022-05-24T16:33:54Z,"Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time
  Reinforcement Learning",0.989,Marc G. Bellemare,http://arxiv.org/abs/2205.12184v2,http://arxiv.org/pdf/2205.12184v2
Deep Network Approximation in Terms of Intrinsic Parameters,Shijun Zhang (National University of Singapore) · Zuowei Shen (National University of Singapore) · Haizhao Yang (University of Maryland College Park),Shijun Zhang,arXiv,http://arxiv.org/abs/2111.07964v2,2021-11-15T18:20:38Z,Deep Network Approximation in Terms of Intrinsic Parameters,1.0,Shijun Zhang,http://arxiv.org/abs/2111.07964v2,http://arxiv.org/pdf/2111.07964v2
The Primacy Bias in Deep Reinforcement Learning,"Evgenii Nikishin (Mila, Université de Montréal) · Max Schwarzer (Mila, Université de Montréal) · Pierluca D'Oro (Mila, Université de Montréal) · Pierre-Luc Bacon (Mila) · Aaron Courville (Université de Montréal)",Evgenii Nikishin,arXiv,http://arxiv.org/abs/2205.07802v1,2022-05-16T16:48:36Z,The Primacy Bias in Deep Reinforcement Learning,1.0,Aaron Courville,http://arxiv.org/abs/2205.07802v1,http://arxiv.org/pdf/2205.07802v1
Stabilizing Q-learning with Linear Architectures for Provable Efficient Learning ,Andrea Zanette (Stanford University) · Martin Wainwright (UC Berkeley / Voleon),Andrea Zanette,arXiv,http://arxiv.org/abs/2206.00796v1,2022-06-01T23:26:51Z,"Stabilizing Q-learning with Linear Architectures for Provably Efficient
  Learning",0.969,Martin J. Wainwright,http://arxiv.org/abs/2206.00796v1,http://arxiv.org/pdf/2206.00796v1
Streaming Algorithm for Monotone k-Submodular Maximization with Cardinality Constraints,Alina Ene (Boston University) · Huy Nguyen (Northeastern University),Alina Ene,arXiv,http://arxiv.org/abs/1911.12959v3,2019-11-29T05:59:58Z,"Optimal Streaming Algorithms for Submodular Maximization with
  Cardinality Constraints",0.874,Andrew Suh,http://arxiv.org/abs/1911.12959v3,http://arxiv.org/pdf/1911.12959v3
Retroformer: Pushing the Limits of End-to-end Retrosynthesis Transformer,Yue Wan (Tencent) · Chang-Yu (Kim) Hsieh (Tencent) · Shengyu Zhang (Tencent) · Ben Liao (Tencent),Yue Wan,,,,,0.0,,,
Last Iterate Risk Bounds of SGD with Decaying Stepsize for Overparameterized Linear Regression,"Jingfeng Wu (Johns Hopkins University) · Difan Zou (UCLA) · Vladimir Braverman (Johns Hopkins University) · Quanquan Gu (University of California, Los Angeles) · Sham Kakade (Harvard University)",Jingfeng Wu,arXiv,http://arxiv.org/abs/2110.06198v1,2021-10-12T17:49:54Z,"Last Iterate Risk Bounds of SGD with Decaying Stepsize for
  Overparameterized Linear Regression",0.989,Sham M. Kakade,http://arxiv.org/abs/2110.06198v1,http://arxiv.org/pdf/2110.06198v1
Optimizing Sequential Experimental Design with Deep Reinforcement Learning,Tom Blau (CSIRO's Data61) · Edwin V Bonilla (CSIRO's Data61) · Iadine Chades (CSIRO) · Amir Dezfouli (CSIRO's Data61),Tom Blau,arXiv,http://arxiv.org/abs/2202.00821v3,2022-02-02T00:23:05Z,"Optimizing Sequential Experimental Design with Deep Reinforcement
  Learning",0.987,Amir Dezfouli,http://arxiv.org/abs/2202.00821v3,http://arxiv.org/pdf/2202.00821v3
On the Robustness of CountSketch to Adaptive Inputs,"Edith Cohen (Google Research and Tel Aviv University) · Xin Lyu (University of California, Berkeley) · Jelani Nelson (UC Berkeley) · Tamas Sarlos (Google) · Moshe Shechner (Tel Aviv University) · Uri Stemmer (Tel Aviv University and Google Research)",Edith Cohen,arXiv,http://arxiv.org/abs/2202.13736v1,2022-02-28T13:04:41Z,On the Robustness of CountSketch to Adaptive Inputs,1.0,Uri Stemmer,http://arxiv.org/abs/2202.13736v1,http://arxiv.org/pdf/2202.13736v1
Exploiting Independent Instruments: Identification and Distribution Generalization,Sorawit Saengkyongam (University of Copenhagen) · Leonard Henckel (Copenhagen University) · Niklas Pfister (University of Copenhagen) · Jonas Peters (University of Copenhagen),Sorawit Saengkyongam,arXiv,http://arxiv.org/abs/2202.01864v1,2022-02-03T21:49:04Z,"Exploiting Independent Instruments: Identification and Distribution
  Generalization",0.988,Jonas Peters,http://arxiv.org/abs/2202.01864v1,http://arxiv.org/pdf/2202.01864v1
UniREx: A Unified Learning Framework for Language Model Rationale Extraction,Aaron Chan (University of Southern California) · Maziar Sanjabi (Meta AI) · Lambert Mathias (Facebook) · Liang Tan (Facebook) · Shaoliang Nie (Facebook) · Xiaochang Peng () · Xiang Ren (University of Southern California) · Hamed Firooz (Facebook),Aaron Chan,arXiv,http://arxiv.org/abs/2112.08802v2,2021-12-16T11:39:21Z,"UNIREX: A Unified Learning Framework for Language Model Rationale
  Extraction",0.987,Hamed Firooz,http://arxiv.org/abs/2112.08802v2,http://arxiv.org/pdf/2112.08802v2
Greedy when Sure and Conservative when Uncertain about the Opponents,"Haobo Fu (Tencent AI Lab) · Ye Tian (Tencent AI Lab) · Hongxiang Yu (SJTU) · Weiming Liu (University of Science and Technology of China) · Shuang Wu (Tencent) · Jiechao Xiong (Tencent AI Lab) · Ying Wen (Shanghai Jiao Tong University) · Kai Li (Institute of Automation, Chinese Academy of Sciences) · Junliang Xing (Tsinghua University) · Qiang Fu (Tencent AI Lab) · Wei Yang (Tencent AI Lab)",Haobo Fu,Google,,,Not just conspiracy ,0.227,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8345314/,
Efficient Contextual Bandits with CVaR Regret,Yinglun Zhu (University of Wisconsin-Madison) · Paul Mineiro (Microsoft),Yinglun Zhu,Google,,,Efﬁcient ,0.296,,https://papers.nips.cc/paper/2020/file/033cc385728c51d97360020ed57776f0-Paper.pdf,
Iterative Double Sketching for Faster Least-Squares Optimization,Rui Wang (Renmin University of China) · Yanyan Ouyang (Renmin University of China) · Wangli Xu (Renmin University of China),Rui Wang,Google,,,PDF 10.1 ,0.055,,https://web.stanford.edu/class/ee270/scribes/lecture10.pdf,
Near-Optimal Algorithms for Autonomous Exploration and Multi-Goal Stochastic Shortest Path,Haoyuan Cai (Tsinghua University) · Tengyu Ma (Stanford) · Simon Du (University of Washington),Haoyuan Cai,arXiv,http://arxiv.org/abs/2205.10729v1,2022-05-22T03:54:15Z,"Near-Optimal Algorithms for Autonomous Exploration and Multi-Goal
  Stochastic Shortest Path",0.989,Simon Du,http://arxiv.org/abs/2205.10729v1,http://arxiv.org/pdf/2205.10729v1
Scaling-up Diverse Orthogonal Convolutional Networks by a Paraunitary Framework,"Jiahao Su (University of Maryland, College Park) · Wonmin Byeon (NVIDIA Research) · Furong Huang (University of Maryland)",Jiahao Su,Google,,,arXiv:2106.09121v1 [cs.LG] 16 Jun 2021,0.12,,https://arxiv.org/pdf/2106.09121,
Fat–Tailed Variational Inference with Anisotropic Tail Adaptive Flows,Feynman Liang (UC Berkeley) · Michael Mahoney (UC Berkeley) · Liam Hodgkinson (University of California Berkeley),Feynman Liang,,,,,0.0,,,
Estimating and Penalizing Induced Preference Shifts in Recommender Systems,"Micah Carroll (UC Berkeley) · Dylan Hadfield-Menell (Massachusetts Institute of Technology) · Stuart Russell (UC Berkeley) · Anca Dragan (University of California, Berkeley)",Micah Carroll,arXiv,http://arxiv.org/abs/2204.11966v1,2022-04-25T21:04:46Z,"Estimating and Penalizing Induced Preference Shifts in Recommender
  Systems",0.987,Anca Dragan,http://arxiv.org/abs/2204.11966v1,http://arxiv.org/pdf/2204.11966v1
Improving Self-Supervised Speech Representations by Disentangling Speakers,Kaizhi Qian (MIT-IBM Watson AI Lab) · Yang Zhang (MIT-IBM Watson AI Lab) · Heting Gao (University of Illinois at Urbana-Champaign) · Junrui Ni (University Of Illinois at Urbana-Champaign) · Cheng-I Lai (MIT) · David Cox (MIT-IBM Watson AI Lab) · Mark Hasegawa-Johnson (University of Illinois) · Shiyu Chang (UCSB),Kaizhi Qian,arXiv,http://arxiv.org/abs/2204.09224v1,2022-04-20T04:56:14Z,"Improving Self-Supervised Speech Representations by Disentangling
  Speakers",0.987,Shiyu Chang,http://arxiv.org/abs/2204.09224v1,http://arxiv.org/pdf/2204.09224v1
Linear Bandit Algorithms with Sublinear Time Complexity,Shuo Yang (University of Texas at Austin) · Tongzheng Ren (UT Austin / Google Brain) · Sanjay Shakkottai (University of Texas at Austin) · Eric Price (UT-Austin) · Inderjit Dhillon (UT Austin & Amazon) · Sujay Sanghavi (UT Austin),Shuo Yang,arXiv,http://arxiv.org/abs/2103.02729v2,2021-03-03T22:42:15Z,Linear Bandit Algorithms with Sublinear Time Complexity,1.0,Sujay Sanghavi,http://arxiv.org/abs/2103.02729v2,http://arxiv.org/pdf/2103.02729v2
On the Role of Discount Factor in Offline Reinforcement Learning,Hao Hu (Tsinghua University) · yiqin yang (Tsinghua University) · Chongjie Zhang (Tsinghua University) · Qianchuan Zhao (Tsinghua University),Hao Hu,arXiv,http://arxiv.org/abs/2206.03383v2,2022-06-07T15:22:42Z,On the Role of Discount Factor in Offline Reinforcement Learning,1.0,Chongjie Zhang,http://arxiv.org/abs/2206.03383v2,http://arxiv.org/pdf/2206.03383v2
Deep Causal Metric Learning,Xiang Deng (State University of New York at Binghamton) · Zhongfei Zhang (Binghamton University),Xiang Deng,Google,,,A Beginners Guide to ,0.125,,https://analyticsindiamag.com/a-beginners-guide-to-deep-metric-learning/,
Style Equalization: Unsupervised Learning of Controllable Generative Sequence Models,Jen-Hao Rick Chang (Apple) · Ashish Shrivastava (Apple) · Hema Koppula (Apple ) · Xiaoshuai Zhang (UC San Diego) · Oncel Tuzel (Apple),Jen-Hao Rick Chang,arXiv,http://arxiv.org/abs/2110.02891v1,2021-10-06T16:17:57Z,"Style Equalization: Unsupervised Learning of Controllable Generative
  Sequence Models",0.988,Oncel Tuzel,http://arxiv.org/abs/2110.02891v1,http://arxiv.org/pdf/2110.02891v1
NeuroFluid: Fluid Dynamics Grounding with Particle-Driven Neural Radiance Fields,Shanyan Guan (Shanghai Jiao Tong University) · Huayu Deng (Shanghai Jiao Tong University) · Yunbo Wang (Tsinghua University) · Xiaokang Yang (Shanghai Jiao Tong University of China),Shanyan Guan,arXiv,http://arxiv.org/abs/2203.01762v2,2022-03-03T15:13:29Z,"NeuroFluid: Fluid Dynamics Grounding with Particle-Driven Neural
  Radiance Fields",0.988,Xiaokang Yang,http://arxiv.org/abs/2203.01762v2,http://arxiv.org/pdf/2203.01762v2
Guaranteed Robust Deep Learning against Extreme Label Noise using Self-supervised Learning,Yihao Xue (UCLA) · Kyle Whitecross (UCLA) · Baharan Mirzasoleiman (Stanford University),Yihao Xue,,,,,0.0,,,
Model Selection in Batch Policy Optimization,Jonathan Lee (Stanford University) · George Tucker (Google Brain) · Ofir Nachum (Google Brain) · Bo Dai (Google Brain),Jonathan Lee,arXiv,http://arxiv.org/abs/2112.12320v1,2021-12-23T02:31:50Z,Model Selection in Batch Policy Optimization,1.0,Bo Dai,http://arxiv.org/abs/2112.12320v1,http://arxiv.org/pdf/2112.12320v1
Active fairness auditing,Tom Yan (Carnegie Mellon University) · Chicheng Zhang (University of Arizona),Tom Yan,arXiv,http://arxiv.org/abs/2206.08450v1,2022-06-16T21:12:00Z,Active Fairness Auditing,1.0,Chicheng Zhang,http://arxiv.org/abs/2206.08450v1,http://arxiv.org/pdf/2206.08450v1
Modality Competition:  What Makes Joint Training of Multi-modal Network Fail in Deep Learning? (Provably),"Yu Huang (Institute for Interdisciplinary Information Sciences (IIIS),  Tsinghua University) · Junyang Lin (Alibaba Group) · Chang Zhou (Alibaba Group) · Hongxia Yang (Alibaba Group) · Longbo Huang (Tsinghua University)",Yu Huang,arXiv,http://arxiv.org/abs/2203.12221v1,2022-03-23T06:21:53Z,"Modality Competition: What Makes Joint Training of Multi-modal Network
  Fail in Deep Learning? (Provably)",0.986,Longbo Huang,http://arxiv.org/abs/2203.12221v1,http://arxiv.org/pdf/2203.12221v1
Robust Group Synchronization via Quadratic Programming,"Yunpeng Shi (University of Minnesota) · Cole Wyeth (University of Minnesota, Twin Cities) · Gilad Lerman (University of Minnesota)",Yunpeng Shi,arXiv,http://arxiv.org/abs/2206.08994v1,2022-06-17T20:08:03Z,Robust Group Synchronization via Quadratic Programming,1.0,Gilad Lerman,http://arxiv.org/abs/2206.08994v1,http://arxiv.org/pdf/2206.08994v1
How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating and Auditing Generative Models,Ahmed Alaa (UCLA) · Boris van Breugel (University of Cambridge) · Evgeny S. Saveliev (University of Cambridge) · Mihaela van der Schaar (University of Cambridge and UCLA),Ahmed Alaa,arXiv,http://arxiv.org/abs/2102.08921v1,2021-02-17T18:25:30Z,"How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating
  and Auditing Generative Models",0.99,Mihaela van der Schaar,http://arxiv.org/abs/2102.08921v1,http://arxiv.org/pdf/2102.08921v1
Efficiently Learning the Topology and Behavior of a  Networked Dynamical System Via Active Queries,"Daniel Rosenkrantz (University of Virginia) · Abhijin Adiga (Biocomplexity Institute & Initiative, Univ. of VA) · Madhav Marathe (Biocomplexity Institute & Initiative, University of Virginia) · Zirou Qiu (University of Virginia) · S. S. Ravi (University of Virginia and University at Albany -- SUNY) · Richard Stearns (University at Albany -- SUNY) · Anil Vullikanti (University of Virginia)",Daniel Rosenkrantz,Google,,,How to get ,0.128,,https://x-engineer.org/state-space-model-dynamic-system/,
Memory-Based Model Editing at Scale,Eric Mitchell (Stanford) · Charles Lin (Stanford) · Antoine Bosselut (EPFL) · Christopher Manning (Stanford University) · Chelsea Finn (Stanford),Eric Mitchell,arXiv,http://arxiv.org/abs/2206.06520v1,2022-06-13T23:40:34Z,Memory-Based Model Editing at Scale,1.0,Chelsea Finn,http://arxiv.org/abs/2206.06520v1,http://arxiv.org/pdf/2206.06520v1
Improved Rates for Differentially Private Stochastic Convex Optimization with Heavy-Tailed Data,Gautam Kamath (University of Waterloo) · Xingtu Liu (University of Waterloo) · Huanyu Zhang (Facebook),Gautam Kamath,arXiv,http://arxiv.org/abs/2106.01336v4,2021-06-02T17:45:47Z,"Improved Rates for Differentially Private Stochastic Convex Optimization
  with Heavy-Tailed Data",0.99,Huanyu Zhang,http://arxiv.org/abs/2106.01336v4,http://arxiv.org/pdf/2106.01336v4
On Finite-Sample Identifiability of Contrastive Learning-Based Nonlinear Independent Component Analysis,Qi Lyu (Oregon State University) · Xiao Fu (Oregon State University),Qi Lyu,arXiv,http://arxiv.org/abs/2206.06593v1,2022-06-14T04:59:08Z,"On Finite-Sample Identifiability of Contrastive Learning-Based Nonlinear
  Independent Component Analysis",0.99,Xiao Fu,http://arxiv.org/abs/2206.06593v1,http://arxiv.org/pdf/2206.06593v1
On Measuring Causal Contributions via do-interventions,Yonghan Jung (Purdue University) · Shiva Kasiviswanathan (Amazon Research AI) · Jin Tian (Iowa State University) · Dominik Janzing (Amazon) · Patrick Bloebaum (Amazon AWS) · Elias Bareinboim (Columbia),Yonghan Jung,,,,,0.0,,,
Deep equilibrium networks are sensitive to initialization statistics,Atish Agarwala (Google Research) · Samuel Schoenholz (Google Brain),Atish Agarwala,,,,,0.0,,,
A General Recipe for Likelihood-free Bayesian Optimization,Jiaming Song (Stanford) · Lantao Yu (Stanford University) · Willie Neiswanger (Stanford University) · Stefano Ermon (Stanford University),Jiaming Song,Google,,,UNIFYING LIKELIHOOD FREE INFERENCE WITH BLACK BOX ,0.37,,https://openreview.net/pdf?id=1HxTO6CTkz,
Position Prediction as an Effective Pretraining Strategy,"Shuangfei Zhai (Apple) · Navdeep Jaitly (Apple) · Jason Ramapuram (Apple) · Dan Busbridge (Apple) · Tatiana Likhomanenko (Apple) · Joseph Cheng (Apple) · Walter Talbott (Apple) · Chen Huang (Apple Inc.) · Hanlin Goh (Apple) · Joshua M Susskind (Apple, Inc.)",Shuangfei Zhai,Google,,,BEIT: BERT Pre-Training of Image Tr,0.374,,https://arxiv.org/pdf/2106.08254,
Mitigating Neural Network Overconfidence with Logit Normalization,Hongxin Wei (Nanyang Technological University) · RENCHUNZI XIE (Nanyang Technological University) · Hao Cheng (Nanjing University) · LEI FENG (Nanyang Technological University) · Bo An (Nanyang Technological University) · Yixuan Li (University of Wisconsin-Madison),Hongxin Wei,arXiv,http://arxiv.org/abs/2205.09310v1,2022-05-19T03:45:18Z,Mitigating Neural Network Overconfidence with Logit Normalization,1.0,Yixuan Li,http://arxiv.org/abs/2205.09310v1,http://arxiv.org/pdf/2205.09310v1
Continual Learning via Function-Space Variational Inference,Tim Rudner (New York University) · Freddie Bickford Smith (University of Oxford) · QIXUAN FENG (University of Oxford) · Yee-Whye Teh (Oxford and DeepMind) · Yarin Gal (University of Oxford),Tim Rudner,,,,,0.0,,,
Actor-Critic based Improper Reinforcement Learning,Mohammadi Zaki (Indian Institute of Science Bangalore) · Avi Mohan (Boston University) · Aditya Gopalan (Indian Institute of Science (IISc)) · Shie Mannor (Technion),Mohammadi Zaki,Google,,,The ,0.074,,https://medium.com/intro-to-artificial-intelligence/the-actor-critic-reinforcement-learning-algorithm-c8095a655c14,
Understanding Instance-Level Impact of Fairness Constraints,"Jialu Wang (University of California, Santa Cruz) · Xin Eric Wang (University of California, Santa Cruz) · Yang Liu (UC Santa Cruz)",Jialu Wang,,,,,0.0,,,
Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning,Momin Abbas (Rensselaer Polytechnic Institute) · Quan Xiao (Rensselaer Polytechnic Institute) · Lisha Chen (Rensselaer Polytechnic Institute) · Pin-Yu Chen (IBM Research AI) · Tianyi Chen (Rensselaer Polytechnic Institute),Momin Abbas,,,,,0.0,,,
Partial disentanglement for domain adaptation,Lingjing Kong (Carnegie Mellon University) · Shaoan Xie (Carnegie Mellon University) · Weiran Yao (Carnegie Mellon University) · Yujia Zheng (Carnegie Mellon University) · Guangyi Chen (MBZUAI) · Petar Stojanov (Broad Institute of MIT and Harvard) · Victor Akinwande (Carnegie Mellon University) · Kun Zhang (Carnegie Mellon University),Lingjing Kong,Google,,,Collaborative Learning With Disentangled Features ,0.379,,https://openaccess.thecvf.com/content/ICCV2021/papers/Jhoo_Collaborative_Learning_With_Disentangled_Features_for_Zero-Shot_Domain_Adaptation_ICCV_2021_paper.pdf,
Structured Stochastic Gradient MCMC,"Antonios Alexos (University of California, Irvine) · Alex Boyd (University of California, Irvine) · Stephan Mandt (University of California, Irivine)",Antonios Alexos,arXiv,http://arxiv.org/abs/2107.09028v3,2021-07-19T17:18:10Z,Structured Stochastic Gradient MCMC,1.0,Stephan Mandt,http://arxiv.org/abs/2107.09028v3,http://arxiv.org/pdf/2107.09028v3
Validating Causal Inference Methods,"Harsh Parikh (Duke University) · Carlos Varjao (Amazon.com) · Louise Xu (Amazon.com) · Eric Tchetgen Tchetgen (The Wharton School, University of Pennsylvania)",Harsh Parikh,Google,,,Evaluating ,0.391,,https://deepai.org/publication/evaluating-causal-inference-methods,
Gating Dropout: Communication-efficient Regularization for Sparsely Activated Transformers,"Rui Liu (University of Michigan, Ann Arbor) · Young Jin Kim (Microsoft) · Alexandre Muzio (Microsoft) · Barzan Mozafari (University of Michigan) · Hany Hassan (microsoft)",Rui Liu,arXiv,http://arxiv.org/abs/2205.14336v1,2022-05-28T05:12:43Z,"Gating Dropout: Communication-efficient Regularization for Sparsely
  Activated Transformers",0.989,Hany Hassan Awadalla,http://arxiv.org/abs/2205.14336v1,http://arxiv.org/pdf/2205.14336v1
Communication-efficient Distributed Learning for Large Batch Optimization,"Rui Liu (University of Michigan, Ann Arbor) · Barzan Mozafari (University of Michigan)",Rui Liu,Google,,,Communication-Efﬁcient ,0.458,,https://www.comp.hkbu.edu.hk/~chxw/papers/infocom_2020_MGS.pdf,
"IGLUE: A Benchmark for Transfer Learning across Modalities, Tasks, and Languages",Emanuele Bugliarello (University of Copenhagen) · Fangyu Liu (University of Cambridge) · Jonas Pfeiffer (TU-Darmstadt) · Siva Reddy (Mila) · Desmond Elliott (University of Copenhagen) · Edoardo Maria Ponti (Mila Montreal / University of Cambridge) · Ivan Vulić (University of Cambridge),Emanuele Bugliarello,arXiv,http://arxiv.org/abs/2201.11732v1,2022-01-27T18:53:22Z,"IGLUE: A Benchmark for Transfer Learning across Modalities, Tasks, and
  Languages",0.988,Ivan Vulić,http://arxiv.org/abs/2201.11732v1,http://arxiv.org/pdf/2201.11732v1
Diffusion Models for Adversarial Purification,Weili Nie (NVIDIA) · Brandon Guo (Caltech) · Yujia Huang (California Institute of Technology) · Chaowei Xiao (University of Michigan) · Arash Vahdat (NVIDIA Research) · Animashree Anandkumar (Caltech and NVIDIA),Weili Nie,arXiv,http://arxiv.org/abs/2205.07460v1,2022-05-16T06:03:00Z,Diffusion Models for Adversarial Purification,1.0,Anima Anandkumar,http://arxiv.org/abs/2205.07460v1,http://arxiv.org/pdf/2205.07460v1
Proximal Exploration for Model-guided Protein Sequence Design,"Zhizhou Ren (University of Illinois at Urbana-Champaign) · Jiahan Li (Peking University) · Fan Ding (Purdue University) · Yuan Zhou (UIUC) · Jianzhu Ma (Institute for Artificial Intelligence, Peking University) · Jian Peng (UIUC)",Zhizhou Ren,Google,,,Peldom/papers_,0.187,,https://github.com/Peldom/papers_for_protein_design_using_DL,
Sample-Efficient Reinforcement Learning with loglog(T) Switching Cost,"Dan Qiao (UCSB) · Ming Yin (UC Santa Barbara) · Ming Min (University of California, Santa Barbara) · Yu-Xiang Wang (UC Santa Barbara)",Dan Qiao,arXiv,http://arxiv.org/abs/2202.06385v2,2022-02-13T19:01:06Z,Sample-Efficient Reinforcement Learning with loglog(T) Switching Cost,1.0,Yu-Xiang Wang,http://arxiv.org/abs/2202.06385v2,http://arxiv.org/pdf/2202.06385v2
Optimal Algorithms for Mean Estimation under Local Differential Privacy,Hilal Asi (Stanford University) · Vitaly Feldman (Apple) · Kunal Talwar (Apple),Hilal Asi,arXiv,http://arxiv.org/abs/2205.02466v1,2022-05-05T06:43:46Z,Optimal Algorithms for Mean Estimation under Local Differential Privacy,1.0,Kunal Talwar,http://arxiv.org/abs/2205.02466v1,http://arxiv.org/pdf/2205.02466v1
How to Fill the Optimal Set? Population Gradient Descent with Harmless Diversity,Chengyue Gong (UT Austin) ·   (None) · Qiang Liu (UT Austin),Chengyue Gong,arXiv,http://arxiv.org/abs/2202.08376v1,2022-02-16T23:40:18Z,"How to Fill the Optimum Set? Population Gradient Descent with Harmless
  Diversity",0.963,Qiang Liu,http://arxiv.org/abs/2202.08376v1,http://arxiv.org/pdf/2202.08376v1
Constants Matter: The Performance Gains of Active Learning,Stephen Mussmann (University of Washington) · Sanjoy Dasgupta (UCSD),Stephen Mussmann,,,,,0.0,,,
Sparse Invariant Risk Minimization,Xiao Zhou (HKUST) · Yong LIN (The Hong Kong University of Science and Technology) · Weizhong Zhang (The Hong Kong University of Science and Technology) · Tong Zhang (HKUST),Xiao Zhou,,,,,0.0,,,
Efficient Variance Reduction for Meta-learning,Hansi Yang (The Hong Kong University of Science and Technology) · James Kwok (Hong Kong University of Science and Technology),Hansi Yang,,,,,0.0,,,
Training Your Sparse Neural Network Better with Any Mask,"Ajay Jaiswal (The University of Texas at Austin) · Haoyu Ma (University of California, Irvine) · Tianlong Chen (University of Texas at Austin) · Ying Ding (University of Texas at Austin) · Zhangyang “Atlas” Wang (University of Texas at Austin)",Ajay Jaiswal,,,,,0.0,,,
Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling,"Tung Nguyen (University of California, Los Angeles) · Aditya Grover (UCLA)",Tung Nguyen,Google,,,Uncertainty in Model-Agnostic ,0.354,,https://deepai.org/publication/uncertainty-in-model-agnostic-meta-learning-using-variational-inference,
Identifiability Conditions for Domain Adaptation,Ishaan Gulrajani (Stanford) · Tatsunori Hashimoto (Stanford),Ishaan Gulrajani,Google,,,Statistical tests and ,0.171,,https://www.pnas.org/doi/10.1073/pnas.1719747115,
An Intriguing Property of Geophysics Inversion,Yinan Feng (Los Alamos National Laboratory) · Yinpeng Chen (Microsoft) · Shihang Feng (Los Alamos National Laboratory) · Peng Jin (The Pennsylvania State University) · Zicheng Liu (Microsoft) · Youzuo Lin (Los Alamos National Laboratory),Yinan Feng,arXiv,http://arxiv.org/abs/2204.13731v2,2022-04-28T18:25:36Z,An Intriguing Property of Geophysics Inversion,1.0,Youzuo Lin,http://arxiv.org/abs/2204.13731v2,http://arxiv.org/pdf/2204.13731v2
Order Constraints in Optimal Transport,Yu Chin Fabian Lim (IBM Research) · Laura Wynter (IBM Research) · Shiau Hong Lim (IBM Research),Yu Chin Fabian Lim,arXiv,http://arxiv.org/abs/2110.07275v1,2021-10-14T11:26:23Z,Order Constraints in Optimal Transport,1.0,Shiau Hong Lim,http://arxiv.org/abs/2110.07275v1,http://arxiv.org/pdf/2110.07275v1
Learning from a Learning User for Optimal Recommendations,Fan Yao (University of Virginia) · Chuanhao Li (University of Virginia) · Denis Nekipelov (University of Virginia) · Hongning Wang (University of Virginia) · Haifeng Xu (University of Virginia),Fan Yao,arXiv,http://arxiv.org/abs/2202.01879v1,2022-02-03T22:45:12Z,Learning from a Learning User for Optimal Recommendations,1.0,Haifeng Xu,http://arxiv.org/abs/2202.01879v1,http://arxiv.org/pdf/2202.01879v1
Multiple-Play Stochastic Bandits with Shareable Finite-Capacity Arms,"Xuchuang Wang (The Chinese University of Hong Kong) · Hong Xie (College of Computer Science, Chongqing University) · John C. S. Lui (The Chinese University of Hong Kong)",Xuchuang Wang,arXiv,http://arxiv.org/abs/2206.08776v1,2022-06-17T13:47:27Z,Multiple-Play Stochastic Bandits with Shareable Finite-Capacity Arms,1.0,John C. S. Lui,http://arxiv.org/abs/2206.08776v1,http://arxiv.org/pdf/2206.08776v1
Federated Learning with Partial Model Personalization,Krishna Pillutla (University of Washington) · Kshitiz Malik (Facebook) · Abdel-rahman Mohamed (Facebook AI Research (FAIR)) · Michael Rabbat (Facebook) · Maziar Sanjabi (Meta AI) · Lin Xiao (Meta AI Research),Krishna Pillutla,arXiv,http://arxiv.org/abs/2204.03809v1,2022-04-08T01:47:05Z,Federated Learning with Partial Model Personalization,1.0,Lin Xiao,http://arxiv.org/abs/2204.03809v1,http://arxiv.org/pdf/2204.03809v1
